name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
DEL BEEF BURRITO,4.8,500.0,DEL TACO (745 CHASTAIN RD NW BLDG 200 | 1133),"UBEREATS, KENNESAW, GA",,,,,,,
CRISPY CHICKEN & FRIES BOX MEAL,7.2,,DEL TACO (745 CHASTAIN RD NW BLDG 200 | 1133),"UBEREATS, KENNESAW, GA",,,,,,,
EPIC HONEY MANGO CRISPY CHICKEN & BACON BURRITO,6.0,,DEL TACO (745 CHASTAIN RD NW BLDG 200 | 1133),"UBEREATS, KENNESAW, GA",,,,,,,
2FOR BURRITOS - MIX & MATCH,6.0,1080.0,DEL TACO (745 CHASTAIN RD NW BLDG 200 | 1133),"UBEREATS, KENNESAW, GA",,,,,,,
CHICKEN GUACAMOLE CRUNCHTADA,3.6,,DEL TACO (745 CHASTAIN RD NW BLDG 200 | 1133),"UBEREATS, KENNESAW, GA",,,,,,,
QUESO BEEF CRUNCHTADA,2.4,,DEL TACO (745 CHASTAIN RD NW BLDG 200 | 1133),"UBEREATS, KENNESAW, GA",,,,,,,
CRUNCHTADA TOSTADA,1.2,330.0,DEL TACO (745 CHASTAIN RD NW BLDG 200 | 1133),"UBEREATS, KENNESAW, GA",,,,,,,
EPIC BBQ CRISPY CHICKEN & BACON BURRITO,6.0,,DEL TACO (745 CHASTAIN RD NW BLDG 200 | 1133),"UBEREATS, KENNESAW, GA",,,,,,,
EPIC CRISPY CHICKEN & GUAC BURRITO,6.0,,DEL TACO (745 CHASTAIN RD NW BLDG 200 | 1133),"UBEREATS, KENNESAW, GA",,,,,,,
HONEY MANGO CRISPY CHICKEN & CHURROS BOX,4.8,,DEL TACO (745 CHASTAIN RD NW BLDG 200 | 1133),"UBEREATS, KENNESAW, GA",,,,,,,
HONEY MANGO CRISPY CHICKEN & CHURROS BOX MEAL,7.2,,DEL TACO (745 CHASTAIN RD NW BLDG 200 | 1133),"UBEREATS, KENNESAW, GA",,,,,,,
CRISPY CHICKEN & FRIES BOX,4.8,,DEL TACO (745 CHASTAIN RD NW BLDG 200 | 1133),"UBEREATS, KENNESAW, GA",,,,,,,
EPIC BEYOND CALI BURRITO,8.14,1040.0,DEL TACO (745 CHASTAIN RD NW BLDG 200 | 1133),"UBEREATS, KENNESAW, GA",,,,,,,
EPIC BEYOND FRESH GUACAMOLE BURRITO,7.95,740.0,DEL TACO (745 CHASTAIN RD NW BLDG 200 | 1133),"UBEREATS, KENNESAW, GA",,,,,,,
EPIC BEYOND LOADED QUESO BURRITO,7.7,870.0,DEL TACO (745 CHASTAIN RD NW BLDG 200 | 1133),"UBEREATS, KENNESAW, GA",,,,,,,
CRISPY CHICKEN TACO,1.2,,DEL TACO (745 CHASTAIN RD NW BLDG 200 | 1133),"UBEREATS, KENNESAW, GA",,,,,,,
HONEY CHIPOTLE BBQ CRISPY CHICKEN TACO,1.2,,DEL TACO (745 CHASTAIN RD NW BLDG 200 | 1133),"UBEREATS, KENNESAW, GA",,,,,,,
HABANERO CRISPY CHICKEN TACO,1.2,,DEL TACO (745 CHASTAIN RD NW BLDG 200 | 1133),"UBEREATS, KENNESAW, GA",,,,,,,
3 LAYER QUESO NACHOS,1.2,270.0,DEL TACO (745 CHASTAIN RD NW BLDG 200 | 1133),"UBEREATS, KENNESAW, GA",,,,,,,
DONUT BITES,1.2,,DEL TACO (745 CHASTAIN RD NW BLDG 200 | 1133),"UBEREATS, KENNESAW, GA",,,,,,,
MEDIUM BREWED GOLD PEAK ICED TEA,1.2,0.0,DEL TACO (745 CHASTAIN RD NW BLDG 200 | 1133),"UBEREATS, KENNESAW, GA",,,,,,,
JACKED UP VALUE BRC BURRITO,1.2,290.0,DEL TACO (745 CHASTAIN RD NW BLDG 200 | 1133),"UBEREATS, KENNESAW, GA",,,,,,,
MINI CHEDDAR QUESADILLA,1.1,130.0,DEL TACO (745 CHASTAIN RD NW BLDG 200 | 1133),"UBEREATS, KENNESAW, GA",,,,,,,
