name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CHICKEN GUACAMOLE CRUNCHTADA®,3.6,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
QUESO BEEF CRUNCHTADA®,2.4,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
CRUNCHTADA® TOSTADA,1.2,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
EPIC BBQ CRISPY CHICKEN & BACON BURRITO,6.0,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
EPIC HONEY MANGO CRISPY CHICKEN & BACON BURRITO,6.0,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
EPIC CRISPY CHICKEN & GUAC BURRITO,6.0,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
HONEY MANGO CRISPY CHICKEN & CHURROS BOX,4.8,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
HONEY MANGO CRISPY CHICKEN & CHURROS BOX MEAL,7.2,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
CRISPY CHICKEN & FRIES BOX,4.8,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
CRISPY CHICKEN & FRIES BOX MEAL,7.2,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
EPIC BEYOND CALI BURRITO,8.14,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
EPIC BEYOND FRESH GUACAMOLE BURRITO,8.14,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
EPIC BEYOND LOADED QUESO BURRITO,7.7,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
CRISPY CHICKEN TACO,1.2,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
HONEY CHIPOTLE BBQ CRISPY CHICKEN TACO,1.2,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
HABANERO CRISPY CHICKEN TACO,1.2,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
3 LAYER QUESO NACHOS,1.2,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
DONUT BITES,1.2,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
MEDIUM BREWED GOLD PEAK® ICED TEA,1.2,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
JACKED UP VALUE BRC BURRITO,1.2,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
MINI CHEDDAR QUESADILLA,1.1,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
MILD SAUCE - ORIGINAL,0.0,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
DEL SCORCHO - MEDIUM,0.0,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
DEL INFERNO - HOT,0.0,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
KETCHUP,0.0,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
TRIPLE CHICKEN BOX,7.2,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
SAMPLER BOX,7.2,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
BEYOND 8 LAYER BURRITO,5.55,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
MACHO COMBO BURRITO®,6.6,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
BEAN & CHEESE BURRITO WITH RED SAUCE,1.55,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
BEAN & CHEESE BURRITO WITH GREEN SAUCE,1.55,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
DEL BEEF BURRITO,4.94,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
DEL COMBO BURRITO,4.8,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
CLASSIC GRILLED CHICKEN BURRITO,4.8,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
SPICY GRILLED CHICKEN BURRITO,4.8,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
8 LAYER VEGGIE BURRITO,4.8,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
"JACKED UP VALUE BEAN, RICE & CHEESE BURRITO",1.2,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
BEER BATTERED FISH TACO,3.5,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
CHIPS & QUESO (SNACK),1.8,,DEL TACO (7665 W. LOWER BUCKEYE RD | 1039),"UBEREATS, PHOENIX, AZ",,,,,,,
